path,filename,label,fold,copied_to
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/fold5/139948-3-4-0.wav,139948-3-4-0.wav,dog_bark,fold5,D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/139948-3-4-0.wav
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/fold7/192236-3-0-6.wav,192236-3-0-6.wav,dog_bark,fold7,D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/192236-3-0-6.wav
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/fold7/194754-3-0-1.wav,194754-3-0-1.wav,dog_bark,fold7,D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/194754-3-0-1.wav
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/fold6/194753-3-3-0.wav,194753-3-3-0.wav,dog_bark,fold6,D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/194753-3-3-0.wav
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/fold4/155320-3-0-0.wav,155320-3-0-0.wav,dog_bark,fold4,D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/155320-3-0-0.wav
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/fold6/36902-3-0-0.wav,36902-3-0-0.wav,dog_bark,fold6,D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/36902-3-0-0.wav
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/fold6/155488-3-2-0.wav,155488-3-2-0.wav,dog_bark,fold6,D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/155488-3-2-0.wav
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/fold5/126521-3-0-2.wav,126521-3-0-2.wav,dog_bark,fold5,D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/126521-3-0-2.wav
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/fold8/44110-3-1-0.wav,44110-3-1-0.wav,dog_bark,fold8,D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/44110-3-1-0.wav
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/fold10/20571-3-1-0.wav,20571-3-1-0.wav,dog_bark,fold10,D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/20571-3-1-0.wav
