TP_ID,TRAIL_ID,USER_ID,Y_COORDINA,X_COORDINA,TIME,DATE,SPEED,HEIGHT,SPEED(KM/H),Y_WGS84,X_WGS84,Distance_km,Time_Diff_s,Acceleration_mps2
1,1,Bullis19,60284197,15337745,14-11-40,10-06-11,819,-1,8.19,60.473661666666665,15.562908333333333,0.0,0.0,0.0
2,2,Bullis19,60284320,15336751,14-12-44,10-06-11,640,-1,6.4,60.473866666666666,15.561251666666667,0.09360224231157331,64.0,-0.007769097222222218
3,3,Bullis19,60284192,15337756,14-13-14,10-06-11,380,-1,3.8,60.47365333333333,15.562926666666666,0.09480457812995852,30.0,-0.024074074074074078
4,4,Bullis19,60283889,15338542,14-19-04,10-06-11,4029,-1,40.29,60.473148333333334,15.564236666666666,0.09114116188873249,350.0,0.02896031746031746
5,5,Bullis19,60281282,15339538,14-19-34,10-06-11,6110,-1,61.1,60.468803333333334,15.565896666666667,0.4916325263435582,30.0,0.1926851851851852
6,6,Bullis19,60279199,15338502,14-20-04,10-06-11,2330,-1,23.3,60.465331666666664,15.56417,0.3974634022221513,30.0,-0.3499999999999999
7,7,Bullis19,60278136,15338524,14-20-34,10-06-11,1930,-1,19.3,60.46356,15.564206666666667,0.19701059764130047,30.0,-0.03703703703703704
8,8,Bullis19,60277877,15340706,14-21-04,10-06-11,1120,-1,11.2,60.46312833333333,15.567843333333334,0.20504795928582759,30.0,-0.07500000000000001
9,9,Bullis19,60280648,15339994,15-20-02,10-06-11,5890,-1,58.9,60.46774666666666,15.566656666666667,0.5176382105294121,3538.0,0.0037450537026568684
10,10,Bullis19,60283527,15338697,15-20-32,10-06-11,6480,-1,64.8,60.472545,15.564495,0.5465449088269528,30.0,0.05462962962962961
11,11,Bullis19,60285562,15337645,15-21-02,10-06-11,7330,-1,73.3,60.47593666666667,15.562741666666666,0.3891825191674043,30.0,0.0787037037037037
12,12,Bullis19,60286818,15331913,15-21-32,10-06-11,6170,-1,61.7,60.47803,15.553188333333333,0.5728836546144209,30.0,-0.10740740740740735
13,13,Bullis19,60288844,15328137,15-22-02,10-06-11,6100,-1,61.0,60.481406666666665,15.546895,0.5097727671791635,30.0,-0.006481481481481507
14,14,Bullis19,60291219,15326289,15-22-32,10-06-11,6780,-1,67.8,60.485365,15.543815,0.4713803636321394,30.0,0.06296296296296293
15,15,Bullis19,60294165,15325891,15-23-02,10-06-11,6040,-1,60.4,60.490275,15.543151666666667,0.5471747951383428,30.0,-0.06851851851851849
16,16,Bullis19,60296489,15323503,15-23-32,10-06-11,6090,-1,60.9,60.494148333333335,15.539171666666666,0.4827134591722058,30.0,0.00462962962962963
17,17,Bullis19,60299186,15324944,15-24-02,10-06-11,6559,-1,65.59,60.498643333333334,15.541573333333334,0.5168347711749249,30.0,0.04342592592592597
18,18,Bullis19,60301706,15324149,15-24-32,10-06-11,4090,-1,40.9,60.50284333333333,15.540248333333333,0.4726201163739407,30.0,-0.22861111111111115
19,19,Bullis19,60303218,15323588,15-25-02,10-06-11,4090,-1,40.9,60.505363333333335,15.539313333333334,0.28484852898004187,30.0,0.0
20,20,Bullis19,60305035,15324460,15-25-32,10-06-11,2680,-1,26.8,60.50839166666667,15.540766666666666,0.3460065303987469,30.0,-0.13055555555555554
21,21,Bullis19,60304623,15323934,15-29-49,10-06-11,4700,-1,47.0,60.507705,15.53989,0.09018285440422685,257.0,0.021833117163856462
22,22,Bullis19,60302550,15323626,15-30-19,10-06-11,4310,-1,43.1,60.50425,15.539376666666668,0.3852049350854282,30.0,-0.036111111111111094
23,23,Bullis19,60299808,15325058,15-30-49,10-06-11,5800,-1,58.0,60.49968,15.541763333333334,0.5246933503607387,30.0,0.13796296296296295
24,24,Bullis19,60297279,15323910,15-31-19,10-06-11,5880,-1,58.8,60.495465,15.53985,0.48025451869850044,30.0,0.007407407407407381
25,25,Bullis19,60305897,15324547,07-49-57,11-06-11,4550,-1,45.5,60.50982833333333,15.540911666666666,1.59818719578014,58718.0,-6.291843122116632e-05
26,26,Bullis19,60307778,15324625,07-50-28,11-06-11,3820,-1,38.2,60.51296333333333,15.541041666666667,0.3486687108316677,31.0,-0.06541218637992828
27,27,Bullis19,60306006,15320327,07-50-59,11-06-11,9510,-1,95.1,60.51001,15.533878333333334,0.5114467433768674,31.0,0.5098566308243727
28,28,Bullis19,60302793,15314579,07-51-29,11-06-11,8120,-1,81.2,60.504655,15.524298333333334,0.7934674544064775,30.0,-0.12870370370370363
29,29,Bullis19,60303479,15313480,07-51-59,11-06-11,3629,-1,36.29,60.50579833333333,15.522466666666666,0.16192032073018095,30.0,-0.4158333333333334
30,30,Bullis19,60299873,15308474,07-52-29,11-06-11,12410,-1,124.1,60.499788333333335,15.514123333333334,0.8094851998477005,30.0,0.8130555555555555
31,31,Bullis19,60295961,15300640,07-52-59,11-06-11,12090,-1,120.9,60.49326833333333,15.501066666666667,1.0182478951297527,30.0,-0.029629629629629523
32,32,Bullis19,60294240,15290829,07-53-29,11-06-11,11360,-1,113.6,60.4904,15.484715,0.9506602777704728,30.0,-0.06759259259259269
33,33,Bullis19,60292296,15281147,07-53-59,11-06-11,11870,-1,118.7,60.48716,15.468578333333333,0.9544736897587099,30.0,0.0472222222222223
34,34,Bullis19,60289885,15272167,07-54-29,11-06-11,10250,-1,102.5,60.48314166666667,15.453611666666667,0.933724773112012,30.0,-0.15000000000000002
35,35,Bullis19,60288578,15266931,07-54-59,11-06-11,6080,-1,60.8,60.480963333333335,15.444885,0.5359509555665452,30.0,-0.3861111111111111
36,36,Bullis19,60286741,15262168,07-55-29,11-06-11,1639,-1,16.39,60.47790166666667,15.436946666666667,0.5523338992574304,30.0,-0.4112037037037037
37,37,Bullis19,60288142,15257203,07-55-59,11-06-11,10140,-1,101.4,60.48023666666667,15.428671666666666,0.5224707195850765,30.0,0.7871296296296297
38,38,Bullis19,60290225,15253451,07-56-29,11-06-11,3070,-1,30.7,60.48370833333333,15.422418333333333,0.516129388752327,30.0,-0.6546296296296297
39,39,Bullis19,60289345,15250009,07-56-59,11-06-11,3679,-1,36.79,60.48224166666667,15.416681666666667,0.35407132919568324,30.0,0.05638888888888889
40,40,Bullis19,60287001,15245806,07-57-29,11-06-11,9390,-1,93.9,60.478335,15.409676666666666,0.5796559075872327,30.0,0.5287962962962963
41,41,Bullis19,60283293,15241379,07-57-59,11-06-11,11330,-1,113.3,60.472155,15.402298333333333,0.7973008294163091,30.0,0.17962962962962956
42,42,Bullis19,60279108,15235798,07-58-29,11-06-11,10880,-1,108.8,60.46518,15.392996666666667,0.9281339380196556,30.0,-0.041666666666666664
43,43,Bullis19,60276609,15228176,07-58-59,11-06-11,9060,-1,90.6,60.461015,15.380293333333332,0.8363058874919638,30.0,-0.16851851851851854
